anio,funcion,sexo,decil,valor_millones
2008,Total,Hombres,I,35776.401
2008,Total,Hombres,II,38276.251
2008,Total,Hombres,III,41291.065
2008,Total,Hombres,IV,45650.622
2008,Total,Hombres,V,49281.426
2008,Total,Hombres,VI,54169.269
2008,Total,Hombres,VII,56792.105
2008,Total,Hombres,VIII,58978.072
2008,Total,Hombres,IX,66417.319
2008,Total,Hombres,X,70835.166
2009,Total,Hombres,Total,524072.329
2009,Total,Hombres,I,36856.797
2009,Total,Hombres,II,38274.887
2009,Total,Hombres,III,41110.44
2009,Total,Hombres,IV,45892.305
2009,Total,Hombres,V,50591.446
2009,Total,Hombres,VI,55355.894
2009,Total,Hombres,VII,57443.478
2009,Total,Hombres,VIII,59886.662
2009,Total,Hombres,IX,68164.774
2009,Total,Hombres,X,70495.645
2010,Total,Hombres,Total,600981.645
2010,Total,Hombres,I,40892.743
2010,Total,Hombres,II,43247.874
2010,Total,Hombres,III,47402.801
2010,Total,Hombres,IV,53038.15
2010,Total,Hombres,V,57358.934
2010,Total,Hombres,VI,62873.314
2010,Total,Hombres,VII,66377.367
2010,Total,Hombres,VIII,70069.178
2010,Total,Hombres,IX,77975.754
2010,Total,Hombres,X,81745.531
2011,Total,Hombres,Total,681795.083
2011,Total,Hombres,I,45365.037
2011,Total,Hombres,II,48725.196
2011,Total,Hombres,III,53878.985
2011,Total,Hombres,IV,60465.49
2011,Total,Hombres,V,64585.314
2011,Total,Hombres,VI,70740.315
2011,Total,Hombres,VII,75906.601
2011,Total,Hombres,VIII,80638.759
2011,Total,Hombres,IX,88400.007
2011,Total,Hombres,X,93089.381
2012,Total,Hombres,Total,767932.311
2012,Total,Hombres,I,50213.27
2012,Total,Hombres,II,54595.185
2012,Total,Hombres,III,60862.997
2012,Total,Hombres,IV,68373.184
2012,Total,Hombres,V,72384.255
2012,Total,Hombres,VI,79057.494
2012,Total,Hombres,VII,86098.381
2012,Total,Hombres,VIII,91730.972
2012,Total,Hombres,IX,99460.498
2012,Total,Hombres,X,105156.076
2013,Total,Hombres,Total,844978.621
2013,Total,Hombres,I,53997.682
2013,Total,Hombres,II,59578.109
2013,Total,Hombres,III,66980.448
2013,Total,Hombres,IV,75411.278
2013,Total,Hombres,V,79000.475
2013,Total,Hombres,VI,86443.105
2013,Total,Hombres,VII,95330.91
2013,Total,Hombres,VIII,102111.497
2013,Total,Hombres,IX,109619.968
2013,Total,Hombres,X,116505.148
2014,Total,Hombres,Total,919947.827
2014,Total,Hombres,I,57451.655
2014,Total,Hombres,II,64049.645
2014,Total,Hombres,III,72768.814
2014,Total,Hombres,IV,82106.227
2014,Total,Hombres,V,84828.572
2014,Total,Hombres,VI,93179.469
2014,Total,Hombres,VII,103923.506
2014,Total,Hombres,VIII,112746.682
2014,Total,Hombres,IX,119963.064
2014,Total,Hombres,X,128930.193
2015,Total,Hombres,Total,1000849.096
2015,Total,Hombres,I,61711.935
2015,Total,Hombres,II,68374.092
2015,Total,Hombres,III,79375.796
2015,Total,Hombres,IV,87876.895
2015,Total,Hombres,V,92903.36
2015,Total,Hombres,VI,101664.213
2015,Total,Hombres,VII,113711.493
2015,Total,Hombres,VIII,122161.311
2015,Total,Hombres,IX,130896.121
2015,Total,Hombres,X,142173.881
2016,Total,Hombres,Total,1098303.7
2016,Total,Hombres,I,66377.375
2016,Total,Hombres,II,73426.046
2016,Total,Hombres,III,87175.098
2016,Total,Hombres,IV,94795.884
2016,Total,Hombres,V,102259.259
2016,Total,Hombres,VI,111717.641
2016,Total,Hombres,VII,125381.609
2016,Total,Hombres,VIII,133866.463
2016,Total,Hombres,IX,144487.293
2016,Total,Hombres,X,158817.034
2017,Total,Hombres,Total,1188877.432
2017,Total,Hombres,I,71200.135
2017,Total,Hombres,II,78425.713
2017,Total,Hombres,III,94633.181
2017,Total,Hombres,IV,100884.922
2017,Total,Hombres,V,110887.522
2017,Total,Hombres,VI,121215.795
2017,Total,Hombres,VII,136187.021
