periodo,sexo,poblacion,nivel_ingreso,nivel_instruccion
Segundo trimestre del 2011,Mujer,911518.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2011,Hombre,996610.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2011,Mujer,877074.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2010,Hombre,1026173.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2010,Mujer,869223.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2010,Hombre,1078300.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2010,Mujer,991319.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2010,Hombre,1149943.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2010,Mujer,1012172.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2010,Hombre,1124274.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2010,Mujer,987028.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2009,Hombre,1130172.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2009,Mujer,1057570.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2009,Hombre,1170206.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2009,Mujer,1041562.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2009,Hombre,1111391.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2009,Mujer,1019779.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2009,Hombre,1064902.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2009,Mujer,1006449.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2008,Hombre,1017605.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2008,Mujer,937140.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2008,Hombre,1122159.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2008,Mujer,958576.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2008,Hombre,1095813.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2008,Mujer,1011764.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2008,Hombre,1151215.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2008,Mujer,986010.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2007,Hombre,1193733.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2007,Mujer,1038856.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2007,Hombre,1191540.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2007,Mujer,1001246.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2007,Hombre,1161974.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2007,Mujer,1044585.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2007,Hombre,1257990.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2007,Mujer,1106955.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2006,Hombre,1288191.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2006,Mujer,1087769.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2006,Hombre,1266099.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2006,Mujer,1066538.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2006,Hombre,1352280.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2006,Mujer,1087757.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2006,Hombre,1397864.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2006,Mujer,1095521.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2005,Hombre,1365304.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2005,Mujer,1101432.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2005,Hombre,1377904.0,Hasta un salario mínimo,Primaria incompleta
Tercer trimestre del 2005,Mujer,1187231.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2005,Hombre,1427014.0,Hasta un salario mínimo,Primaria incompleta
Segundo trimestre del 2005,Mujer,1197297.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2005,Hombre,1375225.0,Hasta un salario mínimo,Primaria incompleta
Primer trimestre del 2005,Mujer,1168166.0,Hasta un salario mínimo,Primaria incompleta
Cuarto trimestre del 2025,Hombre,2311992.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2025,Mujer,1905205.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2025,Hombre,2431731.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2025,Mujer,1944573.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2025,Hombre,2474796.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2025,Mujer,1853543.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2025,Hombre,2534284.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2025,Mujer,2019398.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2024,Hombre,2285435.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2024,Mujer,1866339.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2024,Hombre,2359405.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2024,Mujer,1991066.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2024,Hombre,2397586.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2024,Mujer,2040217.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2024,Hombre,2465975.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2024,Mujer,2030126.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2023,Hombre,2024054.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2023,Mujer,1805813.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2023,Hombre,2088905.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2023,Mujer,1797077.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2023,Hombre,2182513.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2023,Mujer,1896647.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2023,Hombre,2220517.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2023,Mujer,1925308.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2022,Hombre,1882016.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2022,Mujer,1807456.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2022,Hombre,2016101.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2022,Mujer,1696129.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2022,Hombre,2061857.0,Hasta un salario mínimo,Primaria completa
Segundo trimestre del 2022,Mujer,1864097.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2022,Hombre,2135354.0,Hasta un salario mínimo,Primaria completa
Primer trimestre del 2022,Mujer,1738563.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2021,Hombre,1441840.0,Hasta un salario mínimo,Primaria completa
Cuarto trimestre del 2021,Mujer,1315208.0,Hasta un salario mínimo,Primaria completa
Tercer trimestre del 2021,Hombre,1544897.0,Hasta un salario mínimo,Primaria completa
